"opportunity_id","lead_id","nam_owner","region","product_line","competitive_deal_flag","used_fasttrack_approval","status","final_stage","deal_value_usd","period","stage","entry_date","exit_date","days_in_stage"
"OPP-P1-00001","L-P1-00002","D. Singh","West","Smart Mobility (EV/Parking)",False,False,"Lost","Qualify","25180","P1","Qualify","2024-04-05","2024-04-06",1
"OPP-P1-00002","L-P1-00003","J. Sullivan","Northeast","Smart Lighting",True,False,"Lost","Qualify","8296","P1","Qualify","2024-09-15","2024-09-16",1
"OPP-P1-00003","L-P1-00004","S. Patel","West","Video Analytics",False,False,"Lost","Propose","31911","P1","Qualify","2024-05-01","2024-05-02",1
"OPP-P1-00003","L-P1-00004","S. Patel","West","Video Analytics",False,False,"Lost","Propose","31911","P1","Develop","2024-05-02","2024-05-03",1
"OPP-P1-00003","L-P1-00004","S. Patel","West","Video Analytics",False,False,"Lost","Propose","31911","P1","Propose","2024-05-03","2024-05-28",25
"OPP-P1-00004","L-P1-00009","L. Fitzgerald","West","Smart Buildings",True,False,"Lost","Propose","48214","P1","Qualify","2024-04-18","2024-04-19",1
"OPP-P1-00004","L-P1-00009","L. Fitzgerald","West","Smart Buildings",True,False,"Lost","Propose","48214","P1","Develop","2024-04-19","2024-04-20",1
"OPP-P1-00004","L-P1-00009","L. Fitzgerald","West","Smart Buildings",True,False,"Lost","Propose","48214","P1","Propose","2024-04-20","2024-05-14",24
"OPP-P1-00005","L-P1-00010","J. Sullivan","Northeast","Smart Lighting",True,False,"Lost","Propose","21274","P1","Qualify","2024-11-06","2024-11-07",1
"OPP-P1-00005","L-P1-00010","J. Sullivan","Northeast","Smart Lighting",True,False,"Lost","Propose","21274","P1","Develop","2024-11-07","2024-11-08",1
"OPP-P1-00005","L-P1-00010","J. Sullivan","Northeast","Smart Lighting",True,False,"Lost","Propose","21274","P1","Propose","2024-11-08","2024-12-06",28
"OPP-P1-00006","L-P1-00011","J. Sullivan","South","Smart Mobility (EV/Parking)",True,False,"Lost","Develop","78959","P1","Qualify","2024-12-25","2024-12-26",1
"OPP-P1-00006","L-P1-00011","J. Sullivan","South","Smart Mobility (EV/Parking)",True,False,"Lost","Develop","78959","P1","Develop","2024-12-26","2024-12-27",1
"OPP-P1-00007","L-P1-00012","L. Fitzgerald","West","Smart Lighting",True,False,"Lost","Qualify","12421","P1","Qualify","2024-02-13","2024-02-14",1
"OPP-P1-00008","L-P1-00014","J. Sullivan","Midwest","Smart Lighting",False,False,"Lost","Qualify","8000","P1","Qualify","2024-07-21","2024-07-22",1
"OPP-P1-00009","L-P1-00016","K. Romano","Northeast","Video Analytics",False,False,"Lost","Qualify","65494","P1","Qualify","2024-10-15","2024-10-16",1
"OPP-P1-00010","L-P1-00017","D. Singh","South","Digital Signage",False,False,"Lost","Propose","31818","P1","Qualify","2024-09-09","2024-09-10",1
"OPP-P1-00010","L-P1-00017","D. Singh","South","Digital Signage",False,False,"Lost","Propose","31818","P1","Develop","2024-09-10","2024-09-11",1
"OPP-P1-00010","L-P1-00017","D. Singh","South","Digital Signage",False,False,"Lost","Propose","31818","P1","Propose","2024-09-11","2024-09-16",5
"OPP-P1-00011","L-P1-00018","S. Patel","Midwest","Smart Buildings",True,False,"Lost","Propose","42468","P1","Qualify","2024-11-27","2024-11-28",1
"OPP-P1-00011","L-P1-00018","S. Patel","Midwest","Smart Buildings",True,False,"Lost","Propose","42468","P1","Develop","2024-11-28","2024-11-29",1
"OPP-P1-00011","L-P1-00018","S. Patel","Midwest","Smart Buildings",True,False,"Lost","Propose","42468","P1","Propose","2024-11-29","2024-12-28",29
"OPP-P1-00012","L-P1-00025","R. Alvarez","Northeast","Smart Mobility (EV/Parking)",False,False,"Lost","Propose","32633","P1","Qualify","2024-07-22","2024-07-23",1
"OPP-P1-00012","L-P1-00025","R. Alvarez","Northeast","Smart Mobility (EV/Parking)",False,False,"Lost","Propose","32633","P1","Develop","2024-07-23","2024-07-24",1
"OPP-P1-00012","L-P1-00025","R. Alvarez","Northeast","Smart Mobility (EV/Parking)",False,False,"Lost","Propose","32633","P1","Propose","2024-07-24","2024-08-21",28
"OPP-P1-00013","L-P1-00026","J. Sullivan","Northeast","Video Analytics",False,False,"Lost","Propose","23815","P1","Qualify","2024-08-11","2024-08-12",1
"OPP-P1-00013","L-P1-00026","J. Sullivan","Northeast","Video Analytics",False,False,"Lost","Propose","23815","P1","Develop","2024-08-12","2024-08-13",1
"OPP-P1-00013","L-P1-00026","J. Sullivan","Northeast","Video Analytics",False,False,"Lost","Propose","23815","P1","Propose","2024-08-13","2024-08-26",13
"OPP-P1-00014","L-P1-00028","T. Chen","West","Digital Signage",False,False,"Lost","Qualify","69079","P1","Qualify","2024-05-04","2024-05-05",1
"OPP-P1-00015","L-P1-00030","J. Sullivan","South","Digital Signage",False,False,"Lost","Close","35930","P1","Qualify","2024-03-19","2024-03-20",1
"OPP-P1-00015","L-P1-00030","J. Sullivan","South","Digital Signage",False,False,"Lost","Close","35930","P1","Develop","2024-03-20","2024-03-21",1
"OPP-P1-00015","L-P1-00030","J. Sullivan","South","Digital Signage",False,False,"Lost","Close","35930","P1","Propose","2024-03-21","2024-03-26",5
"OPP-P1-00015","L-P1-00030","J. Sullivan","South","Digital Signage",False,False,"Lost","Close","35930","P1","Close","2024-03-26","2024-03-27",1
"OPP-P1-00016","L-P1-00036","L. Fitzgerald","Northeast","Digital Signage",False,False,"Lost","Propose","36118","P1","Qualify","2024-02-05","2024-02-06",1
"OPP-P1-00016","L-P1-00036","L. Fitzgerald","Northeast","Digital Signage",False,False,"Lost","Propose","36118","P1","Develop","2024-02-06","2024-02-07",1
"OPP-P1-00016","L-P1-00036","L. Fitzgerald","Northeast","Digital Signage",False,False,"Lost","Propose","36118","P1","Propose","2024-02-07","2024-02-21",14
"OPP-P1-00017","L-P1-00042","K. Romano","Midwest","Video Analytics",False,False,"Lost","Propose","15961","P1","Qualify","2024-03-02","2024-03-03",1
"OPP-P1-00017","L-P1-00042","K. Romano","Midwest","Video Analytics",False,False,"Lost","Propose","15961","P1","Develop","2024-03-03","2024-03-04",1
"OPP-P1-00017","L-P1-00042","K. Romano","Midwest","Video Analytics",False,False,"Lost","Propose","15961","P1","Propose","2024-03-04","2024-04-02",29
"OPP-P1-00018","L-P1-00043","D. Singh","Midwest","Digital Signage",True,False,"Lost","Qualify","48246","P1","Qualify","2024-08-20","2024-08-21",1
"OPP-P1-00019","L-P1-00050","K. Romano","South","Smart Buildings",False,False,"Lost","Propose","19164","P1","Qualify","2024-11-14","2024-11-18",4
"OPP-P1-00019","L-P1-00050","K. Romano","South","Smart Buildings",False,False,"Lost","Propose","19164","P1","Develop","2024-11-18","2024-11-19",1
"OPP-P1-00019","L-P1-00050","K. Romano","South","Smart Buildings",False,False,"Lost","Propose","19164","P1","Propose","2024-11-19","2024-12-19",30
"OPP-P1-00020","L-P1-00051","T. Chen","Northeast","Smart Mobility (EV/Parking)",True,False,"Lost","Propose","18603","P1","Qualify","2024-06-14","2024-06-15",1
"OPP-P1-00020","L-P1-00051","T. Chen","Northeast","Smart Mobility (EV/Parking)",True,False,"Lost","Propose","18603","P1","Develop","2024-06-15","2024-06-16",1
"OPP-P1-00020","L-P1-00051","T. Chen","Northeast","Smart Mobility (EV/Parking)",True,False,"Lost","Propose","18603","P1","Propose","2024-06-16","2024-07-21",35
"OPP-P1-00021","L-P1-00056","K. Romano","South","Smart Mobility (EV/Parking)",False,False,"Won","Close","29500","P1","Qualify","2024-03-29","2024-03-30",1
"OPP-P1-00021","L-P1-00056","K. Romano","South","Smart Mobility (EV/Parking)",False,False,"Won","Close","29500","P1","Develop","2024-03-30","2024-03-31",1
"OPP-P1-00021","L-P1-00056","K. Romano","South","Smart Mobility (EV/Parking)",False,False,"Won","Close","29500","P1","Propose","2024-03-31","2024-04-16",16
"OPP-P1-00021","L-P1-00056","K. Romano","South","Smart Mobility (EV/Parking)",False,False,"Won","Close","29500","P1","Close","2024-04-16","2024-04-17",1
"OPP-P1-00022","L-P1-00059","D. Singh","South","Smart Lighting",True,False,"Lost","Develop","25418","P1","Qualify","2024-08-06","2024-08-07",1
"OPP-P1-00022","L-P1-00059","D. Singh","South","Smart Lighting",True,False,"Lost","Develop","25418","P1","Develop","2024-08-07","2024-08-08",1
"OPP-P1-00023","L-P1-00060","T. Chen","South","Digital Signage",True,False,"Lost","Qualify","62565","P1","Qualify","2024-11-05","2024-11-06",1
"OPP-P1-00024","L-P1-00063","M. Okafor","Northeast","Video Analytics",True,False,"Lost","Propose","130291","P1","Qualify","2024-07-09","2024-07-10",1
"OPP-P1-00024","L-P1-00063","M. Okafor","Northeast","Video Analytics",True,False,"Lost","Propose","130291","P1","Develop","2024-07-10","2024-07-11",1
"OPP-P1-00024","L-P1-00063","M. Okafor","Northeast","Video Analytics",True,False,"Lost","Propose","130291","P1","Propose","2024-07-11","2024-07-30",19
"OPP-P1-00025","L-P1-00064","M. Okafor","South","Smart Buildings",True,False,"Lost","Close","51164","P1","Qualify","2024-12-24","2024-12-25",1
"OPP-P1-00025","L-P1-00064","M. Okafor","South","Smart Buildings",True,False,"Lost","Close","51164","P1","Develop","2024-12-25","2024-12-26",1
"OPP-P1-00025","L-P1-00064","M. Okafor","South","Smart Buildings",True,False,"Lost","Close","51164","P1","Propose","2024-12-26","2025-01-12",17
"OPP-P1-00025","L-P1-00064","M. Okafor","South","Smart Buildings",True,False,"Lost","Close","51164","P1","Close","2025-01-12","2025-01-13",1
