lead_id,created_date,lead_source,product_line,region,nam_owner,client_type,deal_value_usd,period,lead_status,disqualified_reason
L-P1-00001,16-Feb-24,Cold Outreach,Smart Buildings,Midwest,J. Sullivan,Enterprise Business,9363,P1,Open,
L-P1-00002,04-04-2024,Partner Referral,Smart Mobility (EV/Parking),West,D. Singh,Municipality,25180,P1,Qualified,
L-P1-00003,14-09-2024,PARTNER REFERRAL,Smart Lighting,NORTHEAST,J. Sullivan,Enterprise Business,8296,P1,Qualified,
L-P1-00004,28-04-2024 00:00,Trade Show,Video Analytics,West,S. Patel,Enterprise Business,31911,P1,Qualified,
L-P1-00005,12-Jul-24,Inbound Web Form,Digital Signage,West,S. Patel,Multifamily Property,31855,P1,Disqualified,No response
L-P1-00006,15-Apr-24,Partner Referral,Smart Mobility (EV/Parking),South,R. Alvarez,Enterprise Business,21000,P1,Open,
L-P1-00007,29-Jul-24,Partner Referral,Smart Mobility (EV/Parking),Midwest,S. Patel,Municipality,26863,P1,Open,
L-P1-00008,30-03-2024,Existing Client Upsell,Smart Buildings,South,M. Okafor,Municipality,33592,P1,Open,
L-P1-00009,17-04-2024,Partner Referral,Smart Buildings,West,L. Fitzgerald,Mixed-Use Development,48214,P1,Qualified,
L-P1-00010,04-11-2024,Outbound SDR,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,21274,P1,Qualified,
L-P1-00011,12/24/2024,Outbound SDR,Smart Mobility (EV/Parking),South,J. Sullivan,Multifamily Property,78959,P1,Qualified,
L-P1-00012,02-12-2024,Outbound SDR,Smart Lighting,West,L. Fitzgerald,Enterprise Business,,P1,Qualified,
L-P1-00013,09-03-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,J. Sullivan,Multifamily Property,79473,P1,Open,
L-P1-00014,19-Jul-24,Trade Show,Smart Lighting,Midwest,J. Sullivan,Enterprise Business,8000,P1,Qualified,
L-P1-00015,01-05-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),West,K. Romano,Campus,19719,P1,Open,
L-P1-00016,14-Oct-24,EXISTING CLIENT UPSELL,Video Analytics,NORTHEAST,K. Romano,Multifamily Property,65494,P1,Qualified,
L-P1-00017,09-07-2024,Partner Referral,Digital Signage,South,D. Singh,Campus,31818,P1,Qualified,
L-P1-00018,11/26/2024,Trade Show,Smart Buildings,Midwest,S. Patel,Campus,42468,P1,Qualified,
L-P1-00019,16-Aug-24,Outbound SDR,Smart Lighting,Northeast,R. Alvarez,Mixed-Use Development,47927,P1,Open,
L-P1-00020,20-02-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),Midwest,L. Fitzgerald,Multifamily Property,43020,P1,Disqualified,No budget
L-P1-00021,24-11-2024 00:00,Outbound SDR,Video Analytics,West,S. Patel,Campus,,P1,Open,
L-P1-00022,15-Apr-24,Outbound SDR,Video Analytics,Midwest,L. Fitzgerald,Mixed-Use Development,14104,P1,Disqualified,No budget
L-P1-00023,08/31/2024,Outbound SDR,Smart Buildings,West,R. Alvarez,Campus,24097,P1,Open,
L-P1-00024,12-08-2024 00:00,Inbound Web Form,Smart Lighting,South,D. Singh,Mixed-Use Development,32441,P1,Disqualified,No response
L-P1-00025,20-07-2024 00:00,Cold Outreach,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Multifamily Property,32633,P1,Qualified,
L-P1-00026,10-Aug-24,Inbound Web Form,Video Analytics,Northeast,J. Sullivan,Campus,23815,P1,Qualified,
L-P1-00027,25-01-2024,Existing Client Upsell,Digital Signage,Northeast,D. Singh,Mixed-Use Development,21178,P1,Open,
L-P1-00028,05-03-2024,Outbound SDR,Digital Signage,West,T. Chen,Enterprise Business,69079,P1,Qualified,
L-P1-00029,07-01-2024,Partner Referral,Video Analytics,West,S. Patel,Campus,31022,P1,Disqualified,Wrong fit
L-P1-00030,17-Mar-24,Inbound Web Form,Digital Signage,South,J. Sullivan,Mixed-Use Development,35930,P1,Qualified,
L-P1-00031,12/19/2024,Inbound Web Form,Smart Lighting,Northeast,K. Romano,Enterprise Business,23461,P1,Open,
L-P1-00032,21-09-2024,Cold Outreach,Video Analytics,Northeast,J. Sullivan,Enterprise Business,19351,P1,Disqualified,No budget
L-P1-00033,29-04-2024,Existing Client Upsell,Video Analytics,West,L. Fitzgerald,Campus,34892,P1,Disqualified,No response
L-P1-00034,15-Jan-24,Inbound Web Form,Smart Lighting,Northeast,M. Okafor,Municipality,52124,P1,Open,
L-P1-00035,21-Jul-24,Inbound Web Form,Smart Lighting,Northeast,T. Chen,Enterprise Business,59107,P1,Open,
L-P1-00036,03-02-2024,Trade Show,Digital Signage,Northeast,L. Fitzgerald,Campus,36118,P1,Qualified,
L-P1-00037,05/29/2024,Inbound Web Form,Digital Signage,West,R. Alvarez,Multifamily Property,11146,P1,Open,
L-P1-00038,13-Mar-24,Cold Outreach,Smart Lighting,,L. Fitzgerald,Enterprise Business,45111,P1,Open,
L-P1-00039,08-03-2024,Cold Outreach,Smart Lighting,South,T. Chen,Enterprise Business,9688,P1,Disqualified,No budget
L-P1-00040,16-Oct-24,Outbound SDR,Smart Mobility (EV/Parking),West,J. Sullivan,Campus,12659,P1,Disqualified,No budget
L-P1-00041,27-Oct-24,Cold Outreach,Smart Lighting,Northeast,K. Romano,Multifamily Property,17717,P1,Open,
L-P1-00042,28-Feb-24,Outbound SDR,Video Analytics,Midwest,K. Romano,Enterprise Business,15961,P1,Qualified,
L-P1-00043,17-Aug-24,Partner Referral,Digital Signage,Midwest,D. Singh,Enterprise Business,48246,P1,Qualified,
L-P1-00044,05-11-2024,Existing Client Upsell,Video Analytics,Midwest,R. Alvarez,Enterprise Business,35938,P1,Open,
L-P1-00045,01-12-2024 00:00,Partner Referral,Smart Lighting,West,R. Alvarez,Campus,40476,P1,Open,
L-P1-00046,15-Apr-24,Inbound Web Form,Digital Signage,Midwest,K. Romano,Municipality,17192,P1,Disqualified,No budget
L-P1-00047,07-Oct-24,Cold Outreach,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Campus,29656,P1,Open,
L-P1-00048,20-07-2024 00:00,Trade Show,Digital Signage,Midwest,R. Alvarez,Campus,61192,P1,Open,
L-P1-00049,02-Jun-24,Cold Outreach,Video Analytics,West,J. Sullivan,Enterprise Business,12217,P1,Open,
L-P1-00050,11/13/2024,Outbound SDR,Smart Buildings,South,K. Romano,Campus,19164,P1,Qualified,
L-P1-00051,11-06-2024 00:00,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,T. Chen,Municipality,18603,P1,Qualified,
L-P1-00052,23-09-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,K. Romano,Municipality,14001,P1,Disqualified,No response
L-P1-00053,05/31/2024,Inbound Web Form,Smart Lighting,South,J. Sullivan,Municipality,30581,P1,Open,
L-P1-00054,24-11-2024 00:00,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,43148,P1,Open,
L-P1-00055,28-Nov-24,Partner Referral,Video Analytics,South,S. Patel,Campus,32182,P1,Open,
L-P1-00056,26-03-2024 00:00,Outbound SDR,Smart Mobility (EV/Parking),South,K. Romano,Multifamily Property,29500,P1,Qualified,
L-P1-00057,10-04-2024,Outbound SDR,Smart Mobility (EV/Parking),Northeast,T. Chen,Multifamily Property,73804,P1,Open,
L-P1-00058,07/29/2024,Inbound Web Form,Smart Lighting,South,K. Romano,Mixed-Use Development,16760,P1,Disqualified,No budget
L-P1-00059,08-03-2024,Outbound SDR,Smart Lighting,South,D. Singh,Municipality,25418,P1,Qualified,
L-P1-00060,03-11-2024 00:00,Partner Referral,Digital Signage,South,T. Chen,Mixed-Use Development,62565,P1,Qualified,
L-P1-00061,04/20/2024,Partner Referral,Video Analytics,West,J. Sullivan,Municipality,41819,P1,Open,
L-P1-00062,05-Dec-24,Trade Show,Digital Signage,Northeast,S. Patel,Enterprise Business,9629,P1,Open,
L-P1-00063,07-07-2024,Inbound Web Form,Video Analytics,Northeast,M. Okafor,Campus,130291,P1,Qualified,
L-P1-00064,21-12-2024,Cold Outreach,Smart Buildings,South,M. Okafor,Mixed-Use Development,51164,P1,Qualified,
L-P1-00065,11-05-2024,Outbound SDR,Smart Mobility (EV/Parking),Midwest,D. Singh,Campus,43412,P1,Open,
L-P1-00066,07-06-2024,Inbound Web Form,Digital Signage,Midwest,S. Patel,Campus,15771,P1,Qualified,
L-P1-00067,16-06-2024,Trade Show,Smart Mobility (EV/Parking),Midwest,K. Romano,Multifamily Property,17259,P1,Open,
L-P1-00068,06-05-2024,Cold Outreach,Smart Lighting,Northeast,S. Patel,Campus,60213,P1,Disqualified,Wrong fit
L-P1-00069,22-11-2024 00:00,Existing Client Upsell,Smart Lighting,South,D. Singh,Campus,32697,P1,Open,
L-P1-00070,21-05-2024 00:00,Inbound Web Form,Smart Lighting,South,M. Okafor,Mixed-Use Development,27962,P1,Open,
L-P1-00071,25-Feb-24,Partner Referral,Digital Signage,South,L. Fitzgerald,Enterprise Business,47247,P1,Disqualified,No response
L-P1-00072,03/31/2024,Partner Referral,Digital Signage,West,S. Patel,Enterprise Business,10459,P1,Open,
L-P1-00073,07-Oct-24,Partner Referral,Smart Mobility (EV/Parking),South,M. Okafor,Campus,37885,P1,Disqualified,No budget
L-P1-00074,01-Jan-24,Inbound Web Form,Digital Signage,Midwest,M. Okafor,Multifamily Property,23239,P1,Qualified,
L-P1-00075,21-05-2024,Outbound SDR,Video Analytics,West,S. Patel,Enterprise Business,56105,P1,Qualified,
L-P1-00076,20-12-2024 00:00,Inbound Web Form,Digital Signage,Midwest,R. Alvarez,Multifamily Property,25042,P1,Disqualified,No budget
L-P1-00077,05/23/2024,Inbound Web Form,Digital Signage,South,L. Fitzgerald,Municipality,18493,P1,Open,
L-P1-00078,15-Feb-24,Trade Show,Video Analytics,Midwest,M. Okafor,Municipality,15500,P1,Disqualified,Wrong fit
L-P1-00079,02/17/2024,Existing Client Upsell,Smart Lighting,South,M. Okafor,Multifamily Property,39253,P1,Disqualified,Duplicate
L-P1-00080,12-02-2024 00:00,Outbound SDR,Smart Buildings,Northeast,R. Alvarez,Mixed-Use Development,9157,P1,Disqualified,No response
L-P1-00081,20-05-2024,OUTBOUND SDR,Smart Buildings,NORTHEAST,J. Sullivan,Enterprise Business,78084,P1,Disqualified,Duplicate
L-P1-00082,13-09-2024 00:00,Outbound SDR,Smart Buildings,South,L. Fitzgerald,Campus,25910,P1,Open,
L-P1-00083,05-12-2024,Existing Client Upsell,Smart Lighting,Midwest,J. Sullivan,Municipality,35029,P1,Open,
L-P1-00084,03-09-2024,Trade Show,Smart Lighting,Northeast,L. Fitzgerald,Enterprise Business,8494,P1,Disqualified,No response
L-P1-00085,17-Jan-24,Outbound SDR,Digital Signage,South,S. Patel,Mixed-Use Development,14889,P1,Qualified,
L-P1-00086,15-Dec-24,Cold Outreach,Smart Buildings,Midwest,J. Sullivan,Municipality,223678,P1,Qualified,
L-P1-00087,22-Feb-24,Outbound SDR,Smart Mobility (EV/Parking),Northeast,T. Chen,Municipality,29213,P1,Open,
L-P1-00088,13-01-2024 00:00,Existing Client Upsell,Smart Lighting,South,T. Chen,Multifamily Property,37780,P1,Open,
L-P1-00089,11-08-2024,Inbound Web Form,Smart Lighting,South,T. Chen,Municipality,10139,P1,Disqualified,Wrong fit
L-P1-00090,12-03-2024 00:00,Partner Referral,Smart Buildings,South,K. Romano,Mixed-Use Development,8000,P1,Disqualified,Duplicate
L-P1-00091,09/29/2024,Cold Outreach,Smart Buildings,South,M. Okafor,Multifamily Property,15741,P1,Open,
L-P1-00092,06-Aug-24,Existing Client Upsell,Smart Mobility (EV/Parking),South,T. Chen,Mixed-Use Development,51581,P1,Disqualified,No response
L-P1-00093,16-03-2024,Outbound SDR,Smart Buildings,Northeast,R. Alvarez,Municipality,52420,P1,Open,
L-P1-00094,06-08-2024 00:00,Inbound Web Form,Digital Signage,Midwest,K. Romano,Municipality,14481,P1,Disqualified,No response
L-P1-00095,03-01-2024 00:00,Existing Client Upsell,Digital Signage,South,S. Patel,Multifamily Property,18464,P1,Qualified,
L-P1-00096,12-06-2024 00:00,Inbound Web Form,Digital Signage,Northeast,L. Fitzgerald,Enterprise Business,27000,P1,Disqualified,Wrong fit
L-P1-00097,07/30/2024,Trade Show,Smart Mobility (EV/Parking),Midwest,D. Singh,Multifamily Property,8000,P1,Qualified,
L-P1-00098,30-09-2024 00:00,Partner Referral,Video Analytics,Northeast,S. Patel,Campus,30505,P1,Open,
L-P1-00099,01-02-2024 00:00,Outbound SDR,Smart Lighting,Midwest,K. Romano,Mixed-Use Development,46335,P1,Open,
L-P1-00100,08-08-2024,Outbound SDR,Digital Signage,Northeast,K. Romano,Campus,50049,P1,Open,
L-P1-00101,06-12-2024,Outbound SDR,Digital Signage,Northeast,S. Patel,Multifamily Property,30163,P1,Open,
L-P1-00102,26-11-2024 00:00,Inbound Web Form,Smart Lighting,West,D. Singh,Campus,19611,P1,Disqualified,Wrong fit
L-P1-00103,18-04-2024,Outbound SDR,Smart Lighting,South,S. Patel,Multifamily Property,30374,P1,Disqualified,No response
L-P1-00104,01-06-2024 00:00,Outbound SDR,Digital Signage,Midwest,J. Sullivan,Municipality,20686,P1,Disqualified,No response
L-P1-00105,06-Jan-24,Inbound Web Form,Smart Buildings,Midwest,M. Okafor,Municipality,12146,P1,Open,
L-P1-00106,29-05-2024,Inbound Web Form,Digital Signage,Northeast,J. Sullivan,Multifamily Property,19163,P1,Disqualified,Wrong fit
L-P1-00107,09-10-2024,Existing Client Upsell,Smart Lighting,Northeast,S. Patel,Enterprise Business,20669,P1,Qualified,
L-P1-00108,01-07-2024 00:00,Inbound Web Form,Smart Buildings,South,M. Okafor,Enterprise Business,129327,P1,Disqualified,Wrong fit
L-P1-00109,08-05-2024,Outbound SDR,Smart Buildings,Northeast,D. Singh,Enterprise Business,17170,P1,Qualified,
L-P1-00110,21-04-2024,Trade Show,Smart Buildings,South,L. Fitzgerald,Mixed-Use Development,26980,P1,Qualified,
L-P1-00111,12-Nov-24,Existing Client Upsell,Digital Signage,Midwest,S. Patel,Campus,23006,P1,Qualified,
L-P1-00112,15-09-2024,EXISTING CLIENT UPSELL,Video Analytics,SOUTH,J. Sullivan,Municipality,,P1,Open,
L-P1-00113,02-07-2024,Inbound Web Form,Digital Signage,West,M. Okafor,Enterprise Business,33735,P1,Qualified,
L-P1-00114,19-02-2024,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Municipality,10948,P1,Disqualified,No response
L-P1-00115,16-Apr-24,Inbound Web Form,Smart Buildings,West,R. Alvarez,Multifamily Property,18103,P1,Qualified,
L-P1-00116,25-09-2024 00:00,Outbound SDR,Smart Buildings,Midwest,S. Patel,Municipality,28005,P1,Open,
L-P1-00117,05/18/2024,Existing Client Upsell,Smart Buildings,South,D. Singh,Enterprise Business,33217,P1,Open,
L-P1-00118,10-01-2024,Partner Referral,Smart Buildings,Midwest,S. Patel,Municipality,53818,P1,Disqualified,No budget
L-P1-00119,05-Nov-24,Inbound Web Form,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,48404,P1,Qualified,
L-P1-00120,22-05-2024,Trade Show,Digital Signage,Northeast,S. Patel,Mixed-Use Development,8238,P1,Open,
L-P1-00121,29-07-2024 00:00,Partner Referral,Digital Signage,West,S. Patel,Campus,91951,P1,Open,
L-P1-00122,08-09-2024,Inbound Web Form,Smart Buildings,Northeast,M. Okafor,Municipality,21271,P1,Qualified,
L-P1-00123,16-Nov-24,Outbound SDR,Smart Lighting,Northeast,K. Romano,Multifamily Property,604276,P1,Disqualified,No response
L-P1-00124,10-04-2024,Partner Referral,Smart Buildings,West,L. Fitzgerald,Enterprise Business,86953,P1,Open,
L-P1-00125,19-04-2024,Partner Referral,Digital Signage,Midwest,R. Alvarez,Enterprise Business,16450,P1,Open,
L-P1-00126,11-09-2024 00:00,Existing Client Upsell,Smart Lighting,Northeast,D. Singh,Multifamily Property,23837,P1,Disqualified,Duplicate
L-P1-00127,25-11-2024 00:00,Inbound Web Form,Smart Buildings,West,T. Chen,Mixed-Use Development,35822,P1,Disqualified,No response
L-P1-00128,05-01-2024,Trade Show,Smart Lighting,Midwest,M. Okafor,Multifamily Property,111984,P1,Qualified,
L-P1-00129,04/28/2024,Outbound SDR,Digital Signage,,J. Sullivan,Mixed-Use Development,40318,P1,Open,
L-P1-00130,12/19/2024,OUTBOUND SDR,Digital Signage,NORTHEAST,K. Romano,Multifamily Property,,P1,Open,
L-P1-00131,08/29/2024,Inbound Web Form,Smart Lighting,West,J. Sullivan,Multifamily Property,29742,P1,Open,
L-P1-00132,01-Mar-24,Trade Show,Smart Mobility (EV/Parking),West,K. Romano,Enterprise Business,25138,P1,Open,
