opportunity_id,lead_id,opp_created_date,product_line,region,nam_owner,client_type,deal_value_usd,competitive_deal_flag,used_fasttrack_approval,period,final_stage,status,status_reason,closed_date
OPP-P1-00001,L-P1-00002,05-04-2024,Smart Mobility (EV/Parking),West,D. Singh,Municipality,25180,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,06-04-2024
OPP-P1-00002,L-P1-00003,15-09-2024,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,8296,TRUE,FALSE,P1,Qualify,Lost,Pricing,16-09-2024
OPP-P1-00003,L-P1-00004,01-05-2024,Video Analytics,West,S. Patel,Enterprise Business,31911,FALSE,FALSE,P1,Propose,Lost,Lost Contact,28-05-2024
OPP-P1-00004,L-P1-00009,18-04-2024,Smart Buildings,West,L. Fitzgerald,Mixed-Use Development,48214,TRUE,FALSE,P1,Propose,Lost,Timeline Mismatch,14-05-2024
OPP-P1-00005,L-P1-00010,06-11-2024,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,21274,TRUE,FALSE,P1,Propose,Lost,Pricing,06-12-2024
OPP-P1-00006,L-P1-00011,25-12-2024,Smart Mobility (EV/Parking),South,J. Sullivan,Multifamily Property,78959,TRUE,FALSE,P1,Develop,Lost,Lost Contact,27-12-2024
OPP-P1-00007,L-P1-00012,13-02-2024,Smart Lighting,West,L. Fitzgerald,Enterprise Business,12421,TRUE,FALSE,P1,Qualify,Lost,Pricing,14-02-2024
OPP-P1-00008,L-P1-00014,21-07-2024,Smart Lighting,Midwest,J. Sullivan,Enterprise Business,8000,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,22-07-2024
OPP-P1-00009,L-P1-00016,15-10-2024,Video Analytics,Northeast,K. Romano,Multifamily Property,65494,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,16-10-2024
OPP-P1-00010,L-P1-00017,09-09-2024,Digital Signage,South,D. Singh,Campus,31818,FALSE,FALSE,P1,Propose,Lost,Lost Contact,16-09-2024
OPP-P1-00011,L-P1-00018,27-11-2024,Smart Buildings,Midwest,S. Patel,Campus,42468,TRUE,FALSE,P1,Propose,Lost,Timeline Mismatch,28-12-2024
OPP-P1-00012,L-P1-00025,22-07-2024,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Multifamily Property,32633,FALSE,FALSE,P1,Propose,Lost,Lost Contact,21-08-2024
OPP-P1-00013,L-P1-00026,11-08-2024,Video Analytics,Northeast,J. Sullivan,Campus,23815,FALSE,FALSE,P1,Propose,Lost,Lost Contact,26-08-2024
OPP-P1-00014,L-P1-00028,04-05-2024,Digital Signage,West,T. Chen,Enterprise Business,69079,FALSE,FALSE,P1,Qualify,Lost,Pricing,05-05-2024
