opportunity_id,stage,entry_date,exit_date,days_in_stage,period
OPP-P1-00001,Qualify,05-04-2024,06-04-2024,1,P1
OPP-P1-00002,Qualify,15-09-2024,16-09-2024,1,P1
OPP-P1-00003,Qualify,01-05-2024,02-05-2024,1,P1
OPP-P1-00003,Develop,02-05-2024,03-05-2024,1,P1
OPP-P1-00003,Propose,03-05-2024,28-05-2024,25,P1
OPP-P1-00004,Qualify,18-04-2024,19-04-2024,1,P1
OPP-P1-00004,Develop,19-04-2024,20-04-2024,1,P1
OPP-P1-00004,Propose,20-04-2024,14-05-2024,24,P1
OPP-P1-00005,Qualify,06-11-2024,07-11-2024,1,P1
OPP-P1-00005,Develop,07-11-2024,08-11-2024,1,P1
OPP-P1-00005,Propose,08-11-2024,06-12-2024,28,P1
OPP-P1-00006,Qualify,25-12-2024,26-12-2024,1,P1
OPP-P1-00006,Develop,26-12-2024,27-12-2024,1,P1
OPP-P1-00007,Qualify,13-02-2024,14-02-2024,1,P1
OPP-P1-00008,Qualify,21-07-2024,22-07-2024,1,P1
OPP-P1-00009,Qualify,15-10-2024,16-10-2024,1,P1
OPP-P1-00010,Qualify,09-09-2024,10-09-2024,1,P1
OPP-P1-00010,Develop,10-09-2024,11-09-2024,1,P1
OPP-P1-00010,Propose,11-09-2024,16-09-2024,5,P1
OPP-P1-00011,Qualify,27-11-2024,28-11-2024,1,P1
OPP-P1-00011,Develop,28-11-2024,29-11-2024,1,P1
OPP-P1-00011,Propose,29-11-2024,28-12-2024,29,P1
OPP-P1-00012,Qualify,22-07-2024,23-07-2024,1,P1
OPP-P1-00012,Develop,23-07-2024,24-07-2024,1,P1
OPP-P1-00012,Propose,24-07-2024,21-08-2024,28,P1
OPP-P1-00013,Qualify,11-08-2024,12-08-2024,1,P1
OPP-P1-00013,Develop,12-08-2024,13-08-2024,1,P1
OPP-P1-00013,Propose,13-08-2024,26-08-2024,13,P1
OPP-P1-00014,Qualify,04-05-2024,05-05-2024,1,P1
OPP-P1-00015,Qualify,19-03-2024,20-03-2024,1,P1
OPP-P1-00015,Develop,20-03-2024,21-03-2024,1,P1
OPP-P1-00015,Propose,21-03-2024,26-03-2024,5,P1
OPP-P1-00015,Close,26-03-2024,27-03-2024,1,P1
OPP-P1-00016,Qualify,05-02-2024,06-02-2024,1,P1
OPP-P1-00016,Develop,06-02-2024,07-02-2024,1,P1
OPP-P1-00016,Propose,07-02-2024,21-02-2024,14,P1
OPP-P1-00017,Qualify,02-03-2024,03-03-2024,1,P1
OPP-P1-00017,Develop,03-03-2024,04-03-2024,1,P1
OPP-P1-00017,Propose,04-03-2024,02-04-2024,29,P1
OPP-P1-00018,Qualify,20-08-2024,21-08-2024,1,P1
OPP-P1-00019,Qualify,14-11-2024,18-11-2024,4,P1
OPP-P1-00019,Develop,18-11-2024,19-11-2024,1,P1
OPP-P1-00019,Propose,19-11-2024,19-12-2024,30,P1
OPP-P1-00020,Qualify,14-06-2024,15-06-2024,1,P1
OPP-P1-00020,Develop,15-06-2024,16-06-2024,1,P1
