index,lead_id,created_date,lead_source,product_line,region,nam_owner,client_type,deal_value_usd,period,lead_status,disqualified_reason,is_deal_value_outlier
0,L-P1-00001,16-02-2024,Cold Outreach,Smart Buildings,Midwest,J. Sullivan,Enterprise Business,9363,P1,Open,,FALSE
1,L-P1-00002,04-04-2024,Partner Referral,Smart Mobility (EV/Parking),West,D. Singh,Municipality,25180,P1,Qualified,,FALSE
2,L-P1-00003,14-09-2024,Partner Referral,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,8296,P1,Qualified,,FALSE
3,L-P1-00004,28-04-2024,Trade Show,Video Analytics,West,S. Patel,Enterprise Business,31911,P1,Qualified,,FALSE
4,L-P1-00005,12-07-2024,Inbound Web Form,Digital Signage,West,S. Patel,Multifamily Property,31855,P1,Disqualified,No response,FALSE
5,L-P1-00006,15-04-2024,Partner Referral,Smart Mobility (EV/Parking),South,R. Alvarez,Enterprise Business,21000,P1,Open,,FALSE
6,L-P1-00007,29-07-2024,Partner Referral,Smart Mobility (EV/Parking),Midwest,S. Patel,Municipality,26863,P1,Open,,FALSE
7,L-P1-00008,30-03-2024,Existing Client Upsell,Smart Buildings,South,M. Okafor,Municipality,33592,P1,Open,,FALSE
8,L-P1-00009,17-04-2024,Partner Referral,Smart Buildings,West,L. Fitzgerald,Mixed-Use Development,48214,P1,Qualified,,FALSE
9,L-P1-00010,11-04-2024,Outbound Sdr,Smart Lighting,Northeast,J. Sullivan,Enterprise Business,21274,P1,Qualified,,FALSE
10,L-P1-00011,24-12-2024,Outbound Sdr,Smart Mobility (EV/Parking),South,J. Sullivan,Multifamily Property,78959,P1,Qualified,,TRUE
11,L-P1-00012,12-02-2024,Outbound Sdr,Smart Lighting,West,L. Fitzgerald,Enterprise Business,27536,P1,Qualified,,FALSE
12,L-P1-00013,03-09-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,J. Sullivan,Multifamily Property,79473,P1,Open,,TRUE
13,L-P1-00014,19-07-2024,Trade Show,Smart Lighting,Midwest,J. Sullivan,Enterprise Business,8000,P1,Qualified,,FALSE
14,L-P1-00015,05-01-2024,Outbound Sdr,Smart Mobility (EV/Parking),West,K. Romano,Campus,19719,P1,Open,,FALSE
15,L-P1-00016,14-10-2024,Existing Client Upsell,Video Analytics,Northeast,K. Romano,Multifamily Property,65494,P1,Qualified,,FALSE
16,L-P1-00017,07-09-2024,Partner Referral,Digital Signage,South,D. Singh,Campus,31818,P1,Qualified,,FALSE
17,L-P1-00018,26-11-2024,Trade Show,Smart Buildings,Midwest,S. Patel,Campus,42468,P1,Qualified,,FALSE
18,L-P1-00019,16-08-2024,Outbound Sdr,Smart Lighting,Northeast,R. Alvarez,Mixed-Use Development,47927,P1,Open,,FALSE
19,L-P1-00020,20-02-2024,Outbound Sdr,Smart Mobility (EV/Parking),Midwest,L. Fitzgerald,Multifamily Property,43020,P1,Disqualified,No budget,FALSE
20,L-P1-00021,24-11-2024,Outbound Sdr,Video Analytics,West,S. Patel,Campus,25614,P1,Open,,FALSE
21,L-P1-00022,15-04-2024,Outbound Sdr,Video Analytics,Midwest,L. Fitzgerald,Mixed-Use Development,14104,P1,Disqualified,No budget,FALSE
22,L-P1-00023,31-08-2024,Outbound Sdr,Smart Buildings,West,R. Alvarez,Campus,24097,P1,Open,,FALSE
23,L-P1-00024,08-12-2024,Inbound Web Form,Smart Lighting,South,D. Singh,Mixed-Use Development,32441,P1,Disqualified,No response,FALSE
24,L-P1-00025,20-07-2024,Cold Outreach,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Multifamily Property,32633,P1,Qualified,,FALSE
25,L-P1-00026,10-08-2024,Inbound Web Form,Video Analytics,Northeast,J. Sullivan,Campus,23815,P1,Qualified,,FALSE
